unique_id,ds,forecast
India,2025-01-01,3413.7109290364583
India,2025-02-01,3444.01580859375
India,2025-03-01,3263.2823548177084
India,2025-04-01,2792.6455677083336
India,2025-05-01,2749.147113932292
India,2025-06-01,2820.62366015625
India,2025-07-01,3290.6315397135418
India,2025-08-01,3403.7997526041668
India,2025-09-01,3476.859632161458
India,2025-10-01,2830.2111783854166
India,2025-11-01,2831.832057942708
India,2025-12-01,2978.1696041666664
Indonesia,2025-01-01,1405.7277293925872
Indonesia,2025-02-01,1366.4510201061073
Indonesia,2025-03-01,1394.4965497622547
Indonesia,2025-04-01,1787.091400244394
Indonesia,2025-05-01,1841.2829721902758
Indonesia,2025-06-01,1772.9093710670404
Indonesia,2025-07-01,1308.381811509215
Indonesia,2025-08-01,1343.9410445372866
Indonesia,2025-09-01,1400.827420250103
Indonesia,2025-10-01,1816.427692675019
Indonesia,2025-11-01,1894.452888940718
Indonesia,2025-12-01,1942.1961971446394
Singapore,2025-01-01,758.5605621337891
Singapore,2025-02-01,1064.706558227539
Singapore,2025-03-01,899.7843837738037
Singapore,2025-04-01,742.7469787597656
Singapore,2025-05-01,642.9846801757812
Singapore,2025-06-01,814.0762176513672
Singapore,2025-07-01,866.6406402587891
Singapore,2025-08-01,905.6544208526611
Singapore,2025-09-01,737.4201812744141
Singapore,2025-10-01,839.4718551635742
Singapore,2025-11-01,1162.0494079589844
Singapore,2025-12-01,1491.9093017578125
